Certificate Number,Certificate
50946/11-7-2023,
DE_NW_03_GMP_2023_0100,
DE_NW_03_GMP_2023_0101,
BE/GMP/2023/028,
FIMEA/2022/007473,
IT/43/H/2023,
DE_NW_05_GMP_2023_0049,
2023_HPF_FR_007,
2023_HPF_FR_008,
IT/154/H/2022,
NL/H 22/2039950,
IT/132/H/2023,
BE/GMP/2021/150,
DE_HE_01_GMP_2022_0031,
NL/H 21/2035815,
IT/18/H/2022,
2022_HPF_FR_063,
2022_HPF_FR_064,
016/2021/RO,
IWSF.405.92.2021.IP.1.1	 WTC/0129_02_01/233,
MT/035HM/2021,
134/2021/GMP,
401-11/2021-5,
480019-100289676,
480019-100291984,
480019-100813154,
480019-101316348,
480019-13759117,
BE/GMP/2021/124,
BE/GMP/2021/125,
ES/144HV/21,
IT-API/161/H/2021,
IWSF.405.102.2021.IP.2  WTC/0272_03_01/257,
IWSF.405.102.2021.IP.3  WTC/0272_04_01/258,
IWSF.405.102.2021.IP.5 WTC/0272_05_01/260,
IWSF.405.102.2021IP.4 WTC/0272_02_01/259,
IWSF405.102.2021.IP.1 WTC/0272_01_01/256,
IWSF405.102.2021.IP.6 WTC/0272_01_01/2261,
IWZJ.405.102.2021.IP.10 WTC/0272_05_01/265,
IWZJ.405.102.2021.IP.7 WTC/0272_03_01/262,
IWZJ.405.102.2021.IP.8 WTC/0272_04_01/263,
IWZJ.405.102.2021.IP.9 WTC/0272_02_01/264,
OGYÉI/43711-8/2021,
OGYÉI/43711-9/2021,
sukls170350/2021,
482297-102125188,
482297-14173866,
DE_BW_01_GMP_2021_0118,
DE_BW_01_GMP_2021_0119,
DE_BW_01_GMP_2021_0123,
DE_BW_01_GMP_2021_0124,
DE_BW_01_GMP_2021_0125,
DE_BW_01_GMP_2021_0126,
DE_BW_01_GMP_2021_0131,
DE_NW_01_GMP_2021_0022,
ES/190HVI/21,
IT-API/45/H/2022,
NBF/5/2022/V,
CG-HU/22V/2021.,
ES/149HV/21,
NBF/44/2021/V,
NL/H 21/2029178,
NL/H 21/2031529,
030/2021/RO,
sukls172422/2021,
107498/ 11-10--2022,
2021/HPF/FR/165,
2021/HPF/FR/166,
2021/HPF/FR/177,
2021/HPF/FR/178,
2021/HPF/FR/200,
2021/HPF/FR/214,
21MB031HFR01,
ES/145HVI/21,
IWSF.405.100.2021.IP.1 WTC/0054_01_01/254,
IWSF.405.90.2021.IP.1 WTC/0266_01_01/225,
IWSF.405.90.2021.IP.2 WTC/0266_02_01/226,
IWSF.405.90.2021.IP.3 WTC/0266_03_01/227,
IWSF.405.90.2021.IP.4  WTC/01266_04_01/228,
IWSF.405.90.2021.IP.5.1 WTC/0266_05_01/229,
OGYÉI/41548-7/2021,
2022_HPF_FR_036,
2022_HPF_FR_037,
21/299119,
21MPP046HFR01,
DK H 10000238,1  MANUFACTURING OPERATIONS 1.1  Sterile products 1.1.1  Aseptically prepared (processing operations for the following dosage forms) 1.1.1.1  Large volume liquids 1.1.3  Batch certification 1.2  Non-sterile products 1.2.1  Non-sterile products (processing operations for the following dosage forms) 1.2.1.17  Other: Adjuvances for vaccines(en) 1.2.2  Batch certification 1.6  Quality control testing 1.6.2  Microbiological: non-sterility 1.6.3  Chemical/Physical
DK H 10000241,1  MANUFACTURING OPERATIONS 1.4  Other products or manufacturing activity 1.4.3  Other
DK IMP 10000285,2  IMPORTATION OF MEDICINAL PRODUCTS 2.2  Batch certification of imported medicinal products 2.2.2  Non-sterile products 2.3  Other importation activities 2.3.1  Site of physical importation
DK V 10000239,1  MANUFACTURING OPERATIONS 1.1  Sterile products 1.1.1  Aseptically prepared (processing operations for the following dosage forms) 1.1.1.1  Large volume liquids 1.1.3  Batch certification 1.2  Non-sterile products 1.2.2  Batch certification 1.6  Quality control testing 1.6.2  Microbiological: non-sterility 1.6.3  Chemical/Physical
DK V 10000240,1  MANUFACTURING OPERATIONS 1.4  Other products or manufacturing activity 1.4.3  Other
IT-API/103/H/2021,
IWSF.405.98.2021.IP.1 WTC/0435_01_01/251,1  MANUFACTURING OPERATIONS 1.1  Sterile products 1.1.1  Aseptically prepared (processing operations for the following dosage forms) 1.1.1.4  Small volume liquids 1.1.3  Batch certification 1.5  Packaging 1.5.2  Secondary packaging 1.6  Quality control testing 1.6.1  Microbiological: sterility 1.6.3  Chemical/Physical 1.6.4  Biological
IWSF.405.98.2021.IP.2 WTC/0435_01_02/252,
IWSF.405.99.2021.IP.1 WTC/0384_01_01/253,1  MANUFACTURING OPERATIONS 1.5  Packaging 1.5.2  Secondary packaging
